"Sample" "Family.ID" "Population" "Population.Description" "Gender" "Relationship" "superpop"
"42" "HG00137" "HG00137" "GBR" "British in England and Scotland" "female" "" "EUR"
"43" "HG00138" "HG00138" "GBR" "British in England and Scotland" "male" "" "EUR"
"44" "HG00139" "HG00139" "GBR" "British in England and Scotland" "male" "" "EUR"
"45" "HG00140" "HG00140" "GBR" "British in England and Scotland" "male" "" "EUR"
"46" "HG00141" "HG00141" "GBR" "British in England and Scotland" "male" "" "EUR"
"47" "HG00142" "HG00142" "GBR" "British in England and Scotland" "male" "" "EUR"
"48" "HG00143" "HG00143" "GBR" "British in England and Scotland" "male" "" "EUR"
"49" "HG00144" "GBR001" "GBR" "British in England and Scotland" "female" "mother" "EUR"
"50" "HG00145" "HG00145" "GBR" "British in England and Scotland" "male" "" "EUR"
"51" "HG00146" "GBR002" "GBR" "British in England and Scotland" "female" "child" "EUR"
"52" "HG00147" "GBR002a" "GBR" "British in England and Scotland" "female" "child" "EUR"
"53" "HG00148" "HG00148" "GBR" "British in England and Scotland" "male" "" "EUR"
"54" "HG00149" "HG00149" "GBR" "British in England and Scotland" "male" "" "EUR"
"55" "HG00150" "HG00150" "GBR" "British in England and Scotland" "female" "" "EUR"
"56" "HG00151" "HG00151" "GBR" "British in England and Scotland" "male" "" "EUR"
"57" "HG00152" "HG00152" "GBR" "British in England and Scotland" "male" "" "EUR"
"58" "HG00153" "GBR003" "GBR" "British in England and Scotland" "female" "child" "EUR"
"59" "HG00154" "HG00154" "GBR" "British in England and Scotland" "female" "" "EUR"
"60" "HG00155" "GBR001" "GBR" "British in England and Scotland" "male" "Child" "EUR"
"61" "HG00156" "HG00156" "GBR" "British in England and Scotland" "male" "" "EUR"
"62" "HG00157" "HG00157" "GBR" "British in England and Scotland" "male" "" "EUR"
"63" "HG00158" "GBR003" "GBR" "British in England and Scotland" "female" "mother" "EUR"
"64" "HG00159" "HG00159" "GBR" "British in England and Scotland" "male" "" "EUR"
"65" "HG00160" "HG00160" "GBR" "British in England and Scotland" "male" "" "EUR"
"66" "HG00171" "HG00171" "FIN" "Finnish in Finland" "female" "" "EUR"
"67" "HG00173" "HG00173" "FIN" "Finnish in Finland" "female" "" "EUR"
"68" "HG00174" "HG00174" "FIN" "Finnish in Finland" "female" "" "EUR"
"69" "HG00176" "HG00176" "FIN" "Finnish in Finland" "female" "" "EUR"
"70" "HG00177" "HG00177" "FIN" "Finnish in Finland" "female" "" "EUR"
"71" "HG00178" "HG00178" "FIN" "Finnish in Finland" "female" "" "EUR"
"72" "HG00179" "HG00179" "FIN" "Finnish in Finland" "female" "" "EUR"
"73" "HG00180" "HG00180" "FIN" "Finnish in Finland" "female" "" "EUR"
"74" "HG00181" "HG00181" "FIN" "Finnish in Finland" "male" "" "EUR"
"75" "HG00182" "HG00182" "FIN" "Finnish in Finland" "male" "" "EUR"
"76" "HG00183" "HG00183" "FIN" "Finnish in Finland" "male" "" "EUR"
"77" "HG00185" "HG00185" "FIN" "Finnish in Finland" "male" "" "EUR"
"78" "HG00186" "HG00186" "FIN" "Finnish in Finland" "male" "" "EUR"
"79" "HG00187" "HG00187" "FIN" "Finnish in Finland" "male" "" "EUR"
"80" "HG00188" "HG00188" "FIN" "Finnish in Finland" "male" "" "EUR"
"81" "HG00189" "HG00189" "FIN" "Finnish in Finland" "male" "" "EUR"
"82" "HG00190" "HG00190" "FIN" "Finnish in Finland" "male" "" "EUR"
"83" "HG00231" "HG00231" "GBR" "British in England and Scotland" "female" "" "EUR"
"84" "HG00232" "HG00232" "GBR" "British in England and Scotland" "female" "" "EUR"
"85" "HG00233" "HG00233" "GBR" "British in England and Scotland" "female" "" "EUR"
"86" "HG00234" "HG00234" "GBR" "British in England and Scotland" "male" "" "EUR"
"87" "HG00235" "HG00235" "GBR" "British in England and Scotland" "female" "" "EUR"
"88" "HG00236" "HG00236" "GBR" "British in England and Scotland" "female" "" "EUR"
"89" "HG00237" "HG00237" "GBR" "British in England and Scotland" "female" "" "EUR"
"90" "HG00238" "HG00238" "GBR" "British in England and Scotland" "female" "" "EUR"
"91" "HG00239" "HG00239" "GBR" "British in England and Scotland" "female" "" "EUR"
"92" "HG00240" "HG00240" "GBR" "British in England and Scotland" "female" "" "EUR"
"93" "HG00242" "HG00242" "GBR" "British in England and Scotland" "male" "" "EUR"
"94" "HG00243" "HG00243" "GBR" "British in England and Scotland" "male" "" "EUR"
"95" "HG00244" "HG00244" "GBR" "British in England and Scotland" "male" "" "EUR"
"96" "HG00245" "HG00245" "GBR" "British in England and Scotland" "female" "" "EUR"
"97" "HG00246" "HG00246" "GBR" "British in England and Scotland" "male" "" "EUR"
"98" "HG00247" "GBR004" "GBR" "British in England and Scotland" "female" "mother" "EUR"
"99" "HG00248" "GBR004" "GBR" "British in England and Scotland" "female" "child" "EUR"
"100" "HG00249" "HG00249" "GBR" "British in England and Scotland" "female" "" "EUR"
"101" "HG00250" "HG00250" "GBR" "British in England and Scotland" "female" "" "EUR"
"102" "HG00251" "HG00251" "GBR" "British in England and Scotland" "male" "" "EUR"
"103" "HG00252" "HG00252" "GBR" "British in England and Scotland" "male" "" "EUR"
"104" "HG00253" "HG00253" "GBR" "British in England and Scotland" "female" "" "EUR"
"105" "HG00254" "HG00254" "GBR" "British in England and Scotland" "female" "" "EUR"
"106" "HG00255" "HG00255" "GBR" "British in England and Scotland" "female" "" "EUR"
"107" "HG00256" "HG00256" "GBR" "British in England and Scotland" "male" "" "EUR"
"108" "HG00257" "HG00257" "GBR" "British in England and Scotland" "female" "" "EUR"
"109" "HG00258" "HG00258" "GBR" "British in England and Scotland" "female" "" "EUR"
"110" "HG00259" "HG00259" "GBR" "British in England and Scotland" "female" "" "EUR"
"111" "HG00260" "HG00260" "GBR" "British in England and Scotland" "male" "" "EUR"
"112" "HG00261" "HG00261" "GBR" "British in England and Scotland" "female" "" "EUR"
"113" "HG00262" "HG00262" "GBR" "British in England and Scotland" "female" "" "EUR"
"114" "HG00263" "HG00263" "GBR" "British in England and Scotland" "female" "" "EUR"
"115" "HG00264" "HG00264" "GBR" "British in England and Scotland" "male" "" "EUR"
"116" "HG00265" "HG00265" "GBR" "British in England and Scotland" "male" "" "EUR"
"117" "HG00266" "HG00266" "FIN" "Finnish in Finland" "female" "" "EUR"
"118" "HG00267" "HG00267" "FIN" "Finnish in Finland" "male" "" "EUR"
"119" "HG00268" "HG00268" "FIN" "Finnish in Finland" "female" "" "EUR"
"120" "HG00269" "HG00269" "FIN" "Finnish in Finland" "female" "" "EUR"
"121" "HG00270" "HG00270" "FIN" "Finnish in Finland" "female" "" "EUR"
"122" "HG00271" "HG00271" "FIN" "Finnish in Finland" "male" "" "EUR"
"123" "HG00272" "HG00272" "FIN" "Finnish in Finland" "female" "" "EUR"
"124" "HG00273" "HG00273" "FIN" "Finnish in Finland" "male" "" "EUR"
"125" "HG00274" "HG00274" "FIN" "Finnish in Finland" "female" "" "EUR"
"126" "HG00275" "HG00275" "FIN" "Finnish in Finland" "female" "" "EUR"
"127" "HG00276" "HG00276" "FIN" "Finnish in Finland" "female" "" "EUR"
"128" "HG00277" "HG00277" "FIN" "Finnish in Finland" "male" "" "EUR"
"129" "HG00278" "HG00278" "FIN" "Finnish in Finland" "male" "" "EUR"
"130" "HG00280" "HG00280" "FIN" "Finnish in Finland" "male" "" "EUR"
"131" "HG00281" "HG00281" "FIN" "Finnish in Finland" "female" "" "EUR"
"132" "HG00282" "HG00282" "FIN" "Finnish in Finland" "female" "" "EUR"
"133" "HG00284" "HG00284" "FIN" "Finnish in Finland" "male" "" "EUR"
"134" "HG00285" "HG00285" "FIN" "Finnish in Finland" "female" "" "EUR"
"135" "HG00288" "HG00288" "FIN" "Finnish in Finland" "female" "unrel" "EUR"
"136" "HG00290" "HG00290" "FIN" "Finnish in Finland" "male" "unrel" "EUR"
"137" "HG00302" "HG00302" "FIN" "Finnish in Finland" "female" "unrel" "EUR"
"138" "HG00303" "HG00303" "FIN" "Finnish in Finland" "male" "unrel" "EUR"
"139" "HG00304" "HG00304" "FIN" "Finnish in Finland" "female" "unrel" "EUR"
"140" "HG00306" "HG00306" "FIN" "Finnish in Finland" "female" "" "EUR"
"141" "HG00308" "HG00308" "FIN" "Finnish in Finland" "male" "" "EUR"
"142" "HG00309" "HG00309" "FIN" "Finnish in Finland" "female" "" "EUR"
"143" "HG00310" "HG00310" "FIN" "Finnish in Finland" "male" "" "EUR"
"144" "HG00311" "HG00311" "FIN" "Finnish in Finland" "male" "" "EUR"
"145" "HG00312" "HG00312" "FIN" "Finnish in Finland" "male" "" "EUR"
"146" "HG00313" "HG00313" "FIN" "Finnish in Finland" "female" "" "EUR"
"147" "HG00315" "HG00315" "FIN" "Finnish in Finland" "female" "" "EUR"
"148" "HG00318" "HG00318" "FIN" "Finnish in Finland" "female" "" "EUR"
"149" "HG00319" "HG00319" "FIN" "Finnish in Finland" "female" "" "EUR"
"150" "HG00320" "HG00320" "FIN" "Finnish in Finland" "female" "" "EUR"
"151" "HG00321" "HG00321" "FIN" "Finnish in Finland" "male" "" "EUR"
"152" "HG00323" "HG00323" "FIN" "Finnish in Finland" "female" "" "EUR"
"153" "HG00324" "HG00324" "FIN" "Finnish in Finland" "female" "" "EUR"
"154" "HG00325" "HG00325" "FIN" "Finnish in Finland" "male" "" "EUR"
"155" "HG00326" "HG00326" "FIN" "Finnish in Finland" "female" "" "EUR"
"156" "HG00327" "HG00327" "FIN" "Finnish in Finland" "female" "" "EUR"
"157" "HG00328" "HG00328" "FIN" "Finnish in Finland" "female" "" "EUR"
"158" "HG00329" "HG00329" "FIN" "Finnish in Finland" "male" "" "EUR"
"159" "HG00330" "HG00330" "FIN" "Finnish in Finland" "female" "" "EUR"
"160" "HG00331" "HG00331" "FIN" "Finnish in Finland" "female" "" "EUR"
"161" "HG00332" "HG00332" "FIN" "Finnish in Finland" "female" "" "EUR"
"162" "HG00334" "HG00334" "FIN" "Finnish in Finland" "female" "" "EUR"
"163" "HG00335" "HG00335" "FIN" "Finnish in Finland" "male" "" "EUR"
"164" "HG00336" "HG00336" "FIN" "Finnish in Finland" "male" "" "EUR"
"165" "HG00337" "HG00337" "FIN" "Finnish in Finland" "female" "" "EUR"
"166" "HG00338" "HG00338" "FIN" "Finnish in Finland" "male" "" "EUR"
"167" "HG00339" "HG00339" "FIN" "Finnish in Finland" "female" "" "EUR"
"168" "HG00341" "HG00341" "FIN" "Finnish in Finland" "male" "" "EUR"
"169" "HG00342" "HG00342" "FIN" "Finnish in Finland" "male" "" "EUR"
"170" "HG00343" "HG00343" "FIN" "Finnish in Finland" "female" "" "EUR"
"171" "HG00344" "HG00344" "FIN" "Finnish in Finland" "female" "" "EUR"
"172" "HG00345" "HG00345" "FIN" "Finnish in Finland" "male" "" "EUR"
"173" "HG00346" "HG00346" "FIN" "Finnish in Finland" "female" "" "EUR"
"174" "HG00349" "HG00349" "FIN" "Finnish in Finland" "female" "" "EUR"
"175" "HG00350" "HG00350" "FIN" "Finnish in Finland" "female" "" "EUR"
"176" "HG00351" "HG00351" "FIN" "Finnish in Finland" "male" "" "EUR"
"177" "HG00353" "HG00353" "FIN" "Finnish in Finland" "female" "" "EUR"
"178" "HG00355" "HG00355" "FIN" "Finnish in Finland" "female" "" "EUR"
"179" "HG00356" "HG00356" "FIN" "Finnish in Finland" "female" "" "EUR"
"180" "HG00357" "HG00357" "FIN" "Finnish in Finland" "female" "" "EUR"
"181" "HG00358" "HG00358" "FIN" "Finnish in Finland" "male" "" "EUR"
"182" "HG00359" "HG00359" "FIN" "Finnish in Finland" "female" "" "EUR"
"183" "HG00360" "HG00360" "FIN" "Finnish in Finland" "male" "" "EUR"
"184" "HG00361" "HG00361" "FIN" "Finnish in Finland" "female" "" "EUR"
"185" "HG00362" "HG00362" "FIN" "Finnish in Finland" "female" "" "EUR"
"186" "HG00364" "HG00364" "FIN" "Finnish in Finland" "female" "" "EUR"
"187" "HG00365" "HG00365" "FIN" "Finnish in Finland" "female" "" "EUR"
"188" "HG00366" "HG00366" "FIN" "Finnish in Finland" "male" "" "EUR"
"189" "HG00367" "HG00367" "FIN" "Finnish in Finland" "female" "" "EUR"
"190" "HG00368" "HG00368" "FIN" "Finnish in Finland" "female" "" "EUR"
"191" "HG00369" "HG00369" "FIN" "Finnish in Finland" "male" "" "EUR"
"192" "HG00371" "HG00371" "FIN" "Finnish in Finland" "male" "" "EUR"
"193" "HG00372" "HG00372" "FIN" "Finnish in Finland" "male" "" "EUR"
"194" "HG00373" "HG00373" "FIN" "Finnish in Finland" "female" "" "EUR"
"195" "HG00375" "HG00375" "FIN" "Finnish in Finland" "male" "" "EUR"
"196" "HG00376" "HG00376" "FIN" "Finnish in Finland" "female" "" "EUR"
"197" "HG00377" "HG00377" "FIN" "Finnish in Finland" "female" "" "EUR"
"198" "HG00378" "HG00378" "FIN" "Finnish in Finland" "female" "" "EUR"
"199" "HG00379" "HG00379" "FIN" "Finnish in Finland" "female" "" "EUR"
"200" "HG00380" "HG00380" "FIN" "Finnish in Finland" "female" "" "EUR"
"201" "HG00381" "HG00381" "FIN" "Finnish in Finland" "female" "" "EUR"
"202" "HG00382" "HG00382" "FIN" "Finnish in Finland" "male" "" "EUR"
"203" "HG00383" "HG00383" "FIN" "Finnish in Finland" "female" "" "EUR"
"204" "HG00384" "HG00384" "FIN" "Finnish in Finland" "female" "" "EUR"
"205" "HG00403" "SH001" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"206" "HG00404" "SH001" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"207" "HG00405" "SH001" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"208" "HG00406" "SH002" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"209" "HG00407" "SH002" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"210" "HG00408" "SH002" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"211" "HG00409" "SH003" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"212" "HG00410" "SH003" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"213" "HG00411" "SH003" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"214" "HG00418" "SH006" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"215" "HG00419" "SH006" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"216" "HG00420" "SH006" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"217" "HG00421" "SH007" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"218" "HG00422" "SH007" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"219" "HG00423" "SH007" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"220" "HG00427" "SH009" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"221" "HG00428" "SH009" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"222" "HG00429" "SH009" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"223" "HG00436" "SH012" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"224" "HG00437" "SH012" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"225" "HG00438" "SH012" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"226" "HG00442" "SH014" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"227" "HG00443" "SH014" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"228" "HG00444" "SH014" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"229" "HG00445" "SH015" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"230" "HG00446" "SH015" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"231" "HG00447" "SH015" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"232" "HG00448" "SH016" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"233" "HG00449" "SH016" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"234" "HG00450" "SH016" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"235" "HG00451" "SH017" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"236" "HG00452" "SH017" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"237" "HG00453" "SH017" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"238" "HG00457" "SH019" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"239" "HG00458" "SH019" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"240" "HG00459" "SH019" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"241" "HG00463" "SH021" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"242" "HG00464" "SH021" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"243" "HG00465" "SH021" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"244" "HG00472" "SH024" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"245" "HG00473" "SH024" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"246" "HG00474" "SH024" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"247" "HG00475" "SH025" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"248" "HG00476" "SH025" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"249" "HG00477" "SH025" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"250" "HG00478" "SH026" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"251" "HG00479" "SH026" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"252" "HG00480" "SH026" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"253" "HG00500" "SH028" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"254" "HG00501" "SH028" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"255" "HG00502" "SH028" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"256" "HG00512" "SH032" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"257" "HG00513" "SH032" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"258" "HG00514" "SH032" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"259" "HG00524" "SH036" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"260" "HG00525" "SH036" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"261" "HG00526" "SH036" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"262" "HG00530" "SH038" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"263" "HG00531" "SH038" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"264" "HG00532" "SH038" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"265" "HG00533" "SH039" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"266" "HG00534" "SH039" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"267" "HG00535" "SH039" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"268" "HG00536" "SH040" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"269" "HG00537" "SH040" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"270" "HG00538" "SH040" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"271" "HG00542" "SH042" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"272" "HG00543" "SH042" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"273" "HG00544" "SH042" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"274" "HG00551" "PR01" "PUR" "Puerto Rican in Puerto Rico" "female" "mother" "AMR"
"275" "HG00552" "PR01" "PUR" "Puerto Rican in Puerto Rico" "male" "child" "AMR"
"276" "HG00553" "PR02" "PUR" "Puerto Rican in Puerto Rico" "male" "father" "AMR"
"277" "HG00554" "PR02" "PUR" "Puerto Rican in Puerto Rico" "female" "mother" "AMR"
"278" "HG00555" "PR02" "PUR" "Puerto Rican in Puerto Rico" "female" "child" "AMR"
"279" "HG00556" "SH045" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"280" "HG00557" "SH045" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"281" "HG00558" "SH045" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"282" "HG00559" "SH046" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"283" "HG00560" "SH046" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"284" "HG00561" "SH046" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"285" "HG00565" "SH048" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"286" "HG00566" "SH048" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"287" "HG00567" "SH048" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"288" "HG00577" "SH052" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"289" "HG00578" "SH052" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"290" "HG00579" "SH052" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"291" "HG00580" "SH053" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"292" "HG00581" "SH053" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"293" "HG00582" "SH053" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"294" "HG00583" "SH054" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"295" "HG00584" "SH054" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"296" "HG00585" "SH054" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"297" "HG00589" "SH056" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"298" "HG00590" "SH056" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"299" "HG00591" "SH056" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"300" "HG00592" "SH057" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"301" "HG00593" "SH057" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"302" "HG00594" "SH057" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"303" "HG00595" "SH058" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"304" "HG00596" "SH058" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"305" "HG00597" "SH058" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"306" "HG00598" "SH059" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"307" "HG00599" "SH059" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"308" "HG00600" "SH059" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"309" "HG00607" "SH062" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"310" "HG00608" "SH062" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"311" "HG00609" "SH062" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"312" "HG00610" "SH063" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"313" "HG00611" "SH063" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"314" "HG00612" "SH063" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"315" "HG00613" "SH064" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"316" "HG00614" "SH064" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"317" "HG00615" "SH064" "CHS" "Southern Han Chinese, China" "female" "child" "EAS"
"318" "HG00619" "SH066" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"319" "HG00620" "SH066" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"320" "HG00621" "SH066" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"321" "HG00622" "SH067" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"322" "HG00623" "SH067" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"323" "HG00624" "SH067" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"324" "HG00625" "SH068" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"325" "HG00626" "SH068" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
"326" "HG00627" "SH068" "CHS" "Southern Han Chinese, China" "male" "child" "EAS"
"327" "HG00628" "SH069" "CHS" "Southern Han Chinese, China" "male" "father" "EAS"
"328" "HG00629" "SH069" "CHS" "Southern Han Chinese, China" "female" "mother" "EAS"
